Epoch	Train	Validation
epoch: 1, step: 1486, time: 299.3, train: 11.625, valid: 8.537, train_acc: 0.249, valid_acc: 0.335
epoch: 2, step: 2972, time: 222.2, train: 8.064, valid: 7.024, train_acc: 0.352, valid_acc: 0.389
epoch: 3, step: 4456, time: 270.0, train: 7.161, valid: 6.343, train_acc: 0.387, valid_acc: 0.422
epoch: 4, step: 5940, time: 257.9, train: 6.597, valid: 5.996, train_acc: 0.411, valid_acc: 0.436
epoch: 5, step: 7437, time: 339.9, train: 6.272, valid: 5.661, train_acc: 0.426, valid_acc: 0.456
epoch: 6, step: 8934, time: 329.2, train: 6.010, valid: 5.515, train_acc: 0.439, valid_acc: 0.462
epoch: 7, step: 10422, time: 333.8, train: 5.881, valid: 5.406, train_acc: 0.445, valid_acc: 0.467
epoch: 8, step: 11910, time: 308.1, train: 5.725, valid: 5.292, train_acc: 0.454, valid_acc: 0.475
epoch: 9, step: 13403, time: 347.8, train: 5.682, valid: 5.308, train_acc: 0.456, valid_acc: 0.476
epoch: 10, step: 14896, time: 307.5, train: 5.577, valid: 5.220, train_acc: 0.461, valid_acc: 0.479
epoch: 11, step: 16384, time: 376.4, train: 5.509, valid: 5.143, train_acc: 0.465, valid_acc: 0.485
epoch: 12, step: 17872, time: 261.8, train: 5.416, valid: 5.092, train_acc: 0.471, valid_acc: 0.486
epoch: 13, step: 19364, time: 366.0, train: 5.397, valid: 5.002, train_acc: 0.471, valid_acc: 0.493
epoch: 14, step: 20856, time: 263.5, train: 5.319, valid: 4.976, train_acc: 0.476, valid_acc: 0.494
epoch: 15, step: 22346, time: 370.2, train: 5.316, valid: 4.963, train_acc: 0.476, valid_acc: 0.494
epoch: 16, step: 23836, time: 263.7, train: 5.242, valid: 4.854, train_acc: 0.480, valid_acc: 0.502
epoch: 17, step: 25326, time: 332.3, train: 5.225, valid: 4.939, train_acc: 0.482, valid_acc: 0.496
epoch: 18, step: 26816, time: 295.4, train: 5.162, valid: 4.927, train_acc: 0.485, valid_acc: 0.497
epoch: 19, step: 28308, time: 334.0, train: 5.162, valid: 5.006, train_acc: 0.485, valid_acc: 0.495
epoch: 20, step: 29800, time: 313.2, train: 5.100, valid: 4.937, train_acc: 0.489, valid_acc: 0.497
epoch: 21, step: 31291, time: 362.3, train: 5.109, valid: 4.809, train_acc: 0.488, valid_acc: 0.504
epoch: 22, step: 32782, time: 260.1, train: 5.046, valid: 4.771, train_acc: 0.492, valid_acc: 0.505
epoch: 23, step: 34269, time: 386.5, train: 5.080, valid: 4.740, train_acc: 0.490, valid_acc: 0.509
epoch: 24, step: 35756, time: 256.7, train: 5.024, valid: 4.756, train_acc: 0.494, valid_acc: 0.509
epoch: 25, step: 37247, time: 361.2, train: 5.027, valid: 4.758, train_acc: 0.494, valid_acc: 0.509
epoch: 26, step: 38738, time: 259.4, train: 4.974, valid: 4.789, train_acc: 0.497, valid_acc: 0.506
epoch: 27, step: 40233, time: 372.5, train: 5.003, valid: 4.719, train_acc: 0.495, valid_acc: 0.510
epoch: 28, step: 41728, time: 263.8, train: 4.950, valid: 4.749, train_acc: 0.499, valid_acc: 0.509
epoch: 29, step: 43224, time: 367.0, train: 4.951, valid: 4.738, train_acc: 0.498, valid_acc: 0.510
epoch: 30, step: 44720, time: 270.1, train: 4.901, valid: 4.734, train_acc: 0.502, valid_acc: 0.509
epoch: 31, step: 46219, time: 358.6, train: 4.927, valid: 4.674, train_acc: 0.500, valid_acc: 0.513
epoch: 32, step: 47718, time: 269.5, train: 4.883, valid: 4.670, train_acc: 0.503, valid_acc: 0.513
epoch: 33, step: 49210, time: 362.7, train: 4.884, valid: 4.635, train_acc: 0.503, valid_acc: 0.515
epoch: 34, step: 50702, time: 265.8, train: 4.838, valid: 4.646, train_acc: 0.506, valid_acc: 0.515
epoch: 35, step: 52198, time: 369.1, train: 4.880, valid: 4.677, train_acc: 0.503, valid_acc: 0.512
epoch: 36, step: 53694, time: 269.2, train: 4.837, valid: 4.623, train_acc: 0.506, valid_acc: 0.517
epoch: 37, step: 55184, time: 381.6, train: 4.856, valid: 4.568, train_acc: 0.504, valid_acc: 0.521
epoch: 38, step: 56674, time: 259.3, train: 4.811, valid: 4.577, train_acc: 0.507, valid_acc: 0.520
epoch: 39, step: 58163, time: 379.4, train: 4.837, valid: 4.589, train_acc: 0.506, valid_acc: 0.519
epoch: 40, step: 59652, time: 266.6, train: 4.794, valid: 4.609, train_acc: 0.509, valid_acc: 0.519
epoch: 41, step: 61151, time: 335.6, train: 4.803, valid: 4.584, train_acc: 0.508, valid_acc: 0.519
epoch: 42, step: 62650, time: 302.1, train: 4.759, valid: 4.587, train_acc: 0.511, valid_acc: 0.519
epoch: 43, step: 64144, time: 350.6, train: 4.793, valid: 4.563, train_acc: 0.509, valid_acc: 0.521
epoch: 44, step: 65638, time: 261.0, train: 4.750, valid: 4.570, train_acc: 0.512, valid_acc: 0.522
epoch: 45, step: 67131, time: 337.6, train: 4.791, valid: 4.586, train_acc: 0.509, valid_acc: 0.521
epoch: 46, step: 68624, time: 312.7, train: 4.747, valid: 4.537, train_acc: 0.512, valid_acc: 0.524
epoch: 47, step: 70113, time: 379.8, train: 4.757, valid: 4.611, train_acc: 0.511, valid_acc: 0.517
epoch: 48, step: 71602, time: 266.2, train: 4.720, valid: 4.613, train_acc: 0.514, valid_acc: 0.517
epoch: 49, step: 73094, time: 326.0, train: 4.739, valid: 4.490, train_acc: 0.512, valid_acc: 0.526
epoch: 50, step: 74586, time: 301.9, train: 4.698, valid: 4.496, train_acc: 0.515, valid_acc: 0.526
epoch: 51, step: 76087, time: 344.2, train: 4.741, valid: 4.520, train_acc: 0.512, valid_acc: 0.523
epoch: 52, step: 77588, time: 310.5, train: 4.703, valid: 4.521, train_acc: 0.515, valid_acc: 0.525
epoch: 53, step: 79079, time: 389.8, train: 4.713, valid: 4.456, train_acc: 0.514, valid_acc: 0.529
epoch: 54, step: 80570, time: 266.1, train: 4.676, valid: 4.494, train_acc: 0.517, valid_acc: 0.527
epoch: 55, step: 82055, time: 328.7, train: 4.694, valid: 4.439, train_acc: 0.515, valid_acc: 0.529
epoch: 56, step: 83540, time: 304.2, train: 4.657, valid: 4.499, train_acc: 0.518, valid_acc: 0.527
epoch: 57, step: 85028, time: 335.2, train: 4.689, valid: 4.507, train_acc: 0.516, valid_acc: 0.524
epoch: 58, step: 86516, time: 309.7, train: 4.651, valid: 4.516, train_acc: 0.518, valid_acc: 0.524
epoch: 59, step: 87998, time: 348.1, train: 4.673, valid: 4.453, train_acc: 0.517, valid_acc: 0.529
epoch: 60, step: 89480, time: 311.8, train: 4.632, valid: 4.482, train_acc: 0.520, valid_acc: 0.526
epoch: 61, step: 90961, time: 361.3, train: 4.661, valid: 4.487, train_acc: 0.517, valid_acc: 0.526
epoch: 62, step: 92442, time: 259.3, train: 4.629, valid: 4.517, train_acc: 0.520, valid_acc: 0.525
epoch: 63, step: 93928, time: 343.8, train: 4.653, valid: 4.477, train_acc: 0.518, valid_acc: 0.527
epoch: 64, step: 95414, time: 306.4, train: 4.617, valid: 4.466, train_acc: 0.521, valid_acc: 0.528
epoch: 65, step: 96905, time: 330.1, train: 4.633, valid: 4.472, train_acc: 0.519, valid_acc: 0.527
epoch: 66, step: 98396, time: 305.2, train: 4.596, valid: 4.460, train_acc: 0.522, valid_acc: 0.528
epoch: 67, step: 99888, time: 352.9, train: 4.627, valid: 4.483, train_acc: 0.520, valid_acc: 0.526
epoch: 68, step: 101380, time: 316.3, train: 4.596, valid: 4.501, train_acc: 0.522, valid_acc: 0.525
epoch: 69, step: 102866, time: 349.6, train: 4.628, valid: 4.509, train_acc: 0.520, valid_acc: 0.525
epoch: 70, step: 104352, time: 332.8, train: 4.595, valid: 4.541, train_acc: 0.522, valid_acc: 0.523
epoch: 71, step: 105832, time: 333.6, train: 4.614, valid: 4.471, train_acc: 0.521, valid_acc: 0.527
epoch: 72, step: 107312, time: 321.9, train: 4.583, valid: 4.490, train_acc: 0.523, valid_acc: 0.526
epoch: 73, step: 108798, time: 349.9, train: 4.603, valid: 4.453, train_acc: 0.522, valid_acc: 0.529
epoch: 74, step: 110284, time: 301.5, train: 4.570, valid: 4.451, train_acc: 0.524, valid_acc: 0.529
epoch: 75, step: 111773, time: 335.6, train: 4.602, valid: 4.539, train_acc: 0.522, valid_acc: 0.523
epoch: 76, step: 113262, time: 319.4, train: 4.565, valid: 4.508, train_acc: 0.524, valid_acc: 0.525
epoch: 77, step: 114753, time: 374.3, train: 4.590, valid: 4.468, train_acc: 0.522, valid_acc: 0.527
epoch: 78, step: 116244, time: 265.6, train: 4.556, valid: 4.469, train_acc: 0.525, valid_acc: 0.527
epoch: 79, step: 117741, time: 376.4, train: 4.591, valid: 4.442, train_acc: 0.523, valid_acc: 0.530
epoch: 80, step: 119238, time: 262.6, train: 4.556, valid: 4.459, train_acc: 0.525, valid_acc: 0.528
epoch: 81, step: 120729, time: 341.0, train: 4.585, valid: 4.454, train_acc: 0.523, valid_acc: 0.529
epoch: 82, step: 122220, time: 311.5, train: 4.554, valid: 4.465, train_acc: 0.525, valid_acc: 0.528
epoch: 83, step: 123709, time: 336.9, train: 4.567, valid: 4.435, train_acc: 0.524, valid_acc: 0.531
epoch: 84, step: 125198, time: 317.3, train: 4.536, valid: 4.445, train_acc: 0.526, valid_acc: 0.530
epoch: 85, step: 126682, time: 329.4, train: 4.560, valid: 4.405, train_acc: 0.525, valid_acc: 0.532
epoch: 86, step: 128166, time: 326.5, train: 4.524, valid: 4.410, train_acc: 0.528, valid_acc: 0.532
epoch: 87, step: 129660, time: 346.1, train: 4.561, valid: 4.376, train_acc: 0.524, valid_acc: 0.534
epoch: 88, step: 131154, time: 315.6, train: 4.526, valid: 4.396, train_acc: 0.527, valid_acc: 0.533
epoch: 89, step: 132646, time: 336.4, train: 4.551, valid: 4.429, train_acc: 0.525, valid_acc: 0.530
epoch: 90, step: 134138, time: 304.0, train: 4.519, valid: 4.458, train_acc: 0.528, valid_acc: 0.528
epoch: 91, step: 135625, time: 346.1, train: 4.532, valid: 4.368, train_acc: 0.526, valid_acc: 0.535
epoch: 92, step: 137112, time: 303.8, train: 4.503, valid: 4.425, train_acc: 0.529, valid_acc: 0.531
epoch: 93, step: 138599, time: 332.4, train: 4.521, valid: 4.426, train_acc: 0.528, valid_acc: 0.532
epoch: 94, step: 140086, time: 321.0, train: 4.490, valid: 4.414, train_acc: 0.530, valid_acc: 0.532
epoch: 95, step: 141566, time: 329.7, train: 4.518, valid: 4.475, train_acc: 0.528, valid_acc: 0.528
epoch: 96, step: 143046, time: 312.2, train: 4.489, valid: 4.458, train_acc: 0.530, valid_acc: 0.528
epoch: 97, step: 144540, time: 374.3, train: 4.523, valid: 4.459, train_acc: 0.527, valid_acc: 0.529
epoch: 98, step: 146034, time: 258.5, train: 4.489, valid: 4.472, train_acc: 0.530, valid_acc: 0.527
epoch: 99, step: 147523, time: 348.6, train: 4.500, valid: 4.417, train_acc: 0.529, valid_acc: 0.531
epoch: 100, step: 149012, time: 309.7, train: 4.469, valid: 4.397, train_acc: 0.531, valid_acc: 0.533
epoch: 101, step: 150498, time: 342.6, train: 4.507, valid: 4.395, train_acc: 0.529, valid_acc: 0.534
epoch: 102, step: 151984, time: 307.6, train: 4.477, valid: 4.390, train_acc: 0.531, valid_acc: 0.534
epoch: 103, step: 153473, time: 340.0, train: 4.504, valid: 4.447, train_acc: 0.529, valid_acc: 0.529
epoch: 104, step: 154962, time: 316.0, train: 4.473, valid: 4.457, train_acc: 0.531, valid_acc: 0.529
epoch: 105, step: 156452, time: 330.7, train: 4.493, valid: 4.412, train_acc: 0.529, valid_acc: 0.531
epoch: 106, step: 157942, time: 315.0, train: 4.462, valid: 4.431, train_acc: 0.532, valid_acc: 0.531
